,Synset,PoS,Palabra,TagCount
688,102084071,n,perro,6
689,102121620,n,gato,2
690,102151625,n,ala,1
691,102152991,n,caza,1
692,102274259,n,mariposa,3
693,102330245,n,ratón,3
694,102374451,n,caballo,10
695,102403325,n,toro,3
696,102413131,n,oveja,1
697,102472293,n,hombre,2
698,102472987,n,mundo,22
699,102512053,n,pez,2
700,102667379,n,abadía,2
701,102671062,n,paso,3
702,102671421,n,complemento,1
703,102671780,n,complemento,1
704,102672371,n,alojamiento,1
705,102691156,n,avión,3
706,102692232,n,aeropuerto,6
707,102713594,n,ala,2
708,102715229,n,antena,1
709,102726305,n,piso,3
710,102729837,n,aparato,1
711,102731123,n,pista,2
712,102732072,n,acuario,1
713,102734217,n,arco,4
714,102735086,n,archivo,3
715,102735688,n,zona,33
716,102736511,n,campo,2
717,102743426,n,arsenal,1
718,102746365,n,arma,1
719,102756098,n,vestido,1
720,102756098,n,traje,2
721,102763901,n,carpa,1
722,102773037,n,bolsa,5
723,102778669,n,pelota,4
724,102782681,n,urna,5
725,102787772,n,banco,1
726,102788689,n,barra,1
727,102789487,n,barra,2
728,102790669,n,barbacoa,1
729,102795169,n,barril,1
730,102796623,n,barrera,4
731,102803349,n,bajo,1
732,102821627,n,habitación,1
733,102824448,n,campana,1
734,102828648,n,ronda,3
735,102828884,n,banco,3
736,102839910,n,cubo,2
737,102846511,n,pizarra,6
738,102852173,n,intermitente,1
739,102852523,n,bloque,2
740,102853016,n,bloque,2
741,102858304,n,embarcación,1
742,102866578,n,explosivo,3
743,102866578,n,bomba,9
744,102869563,n,trasto,4
745,102870092,n,libro,13
746,102870880,n,estantería,2
747,102873839,n,caseta,3
748,102876657,n,botella,6
749,102879087,n,ramo,1
750,102883344,n,caja,2
751,102891788,n,metal,1
752,102898711,n,puente,18
753,102913152,n,edificio,26
754,102916350,n,bala,2
755,102935658,n,café,3
756,102942699,n,cámara,2
757,102948072,n,vela,3
758,102949691,n,marihuana,2
759,102952485,n,comedor,1
760,102958343,n,coche,36
761,102964389,n,carga,6
762,102969323,n,carril,12
763,102970849,n,carro,2
764,102975212,n,escaparate,4
765,102982599,n,pestillo,1
766,102986757,n,pasarela,1
767,102990373,n,techo,1
768,102991048,n,célula,5
769,102991847,n,cava,1
770,102993546,n,centro,51
771,103001627,n,silla,2
772,103009633,n,talismán,1
773,103028079,n,iglesia,6
774,103032252,n,cine,4
775,103033019,n,anfiteatro,2
776,103033362,n,circuito,1
777,103033986,n,tarjeta,1
778,103035252,n,carpa,2
779,103038685,n,clase,2
780,103054311,n,club,3
781,103073977,n,columna,1
782,103076708,n,artículo,3
783,103077616,n,sala,4
784,103077616,n,salón,4
785,103081859,n,recinto,6
786,103091374,n,conexión,3
787,103093427,n,consulado,1
788,103096273,n,contrabando,1
789,103100490,n,transporte,8
790,103101302,n,fogón,2
791,103102859,n,refrigeración,7
792,103109486,n,esquina,12
793,103117199,n,ficha,3
794,103119790,n,pista,5
795,103119790,n,campo,6
796,103135152,n,cruz,1
797,103135788,n,listón,1
798,103138669,n,corona,5
799,103141327,n,crucero,3
800,103142834,n,cristal,1
801,103147901,n,copa,2
802,103149951,n,curiosidad,5
803,103159640,n,tribuna,1
804,103165466,n,guardería,4
805,103169390,n,decoración,1
806,103177165,n,depilatorio,1
807,103178782,n,diseño,2
808,103180865,n,torre,1
809,103183080,n,dispositivo,1
810,103183080,n,aparato,3
811,103200701,n,comedor,1
812,103206908,n,plato,1
813,103211117,n,pantalla,4
814,103211789,n,escaparate,8
815,103220513,n,cúpula,5
816,103221720,n,puerta,20
817,103224032,n,portal,5
818,103225238,n,dosis,10
819,103242713,n,rambla,2
820,103249342,n,farmacia,4
821,103259505,n,domicilio,5
822,103259505,n,vivienda,15
823,103259505,n,casa,36
824,103285912,n,recinto,14
825,103290771,n,boca,1
826,103294048,n,equipamiento,5
827,103297735,n,establecimiento,3
828,103303965,n,salida,8
829,103304730,n,explosivo,3
830,103309808,n,tejido,2
831,103313333,n,fachada,4
832,103315023,n,instalación,16
833,103316406,n,planta,4
834,103332173,n,pañuelo,7
835,103335030,n,caza,1
836,103335600,n,figura,1
837,103343560,n,fuego,1
838,103345115,n,petardo,5
839,103365592,n,suelo,1
840,103365991,n,piso,2
841,103375956,n,transparencia,1
842,103379828,n,pasarela,1
843,103388183,n,pluma,1
844,103412058,n,galería,4
845,103415749,n,pasarela,1
846,103417345,n,jardín,6
847,103419014,n,prenda,1
848,103430418,n,quiosco,1
849,103432972,n,tesoro,4
850,103438257,n,vaso,1
851,103442756,n,área,4
852,103446070,n,palo,1
853,103452953,n,tribuna,1
854,103457902,n,invernadero,6
855,103458271,n,granada,1
856,103458422,n,parrilla,5
857,103463381,n,bajo,2
858,103467517,n,guitarra,6
859,103492922,n,casco,1
860,103502509,n,sombrero,6
861,103504420,n,cuartel,6
862,103526198,n,agujero,1
863,103540595,n,clínica,1
864,103542333,n,hotel,22
865,103544360,n,casa,23
