,Synset,Glosa
736,100165942,None
737,100166172,None
738,100166355,None
739,100166552,None
740,100166702,None
741,100166865,None
742,100167063,None
743,100167278,None
744,100167446,None
745,100167580,None
746,100167764,None
747,100167950,None
748,100168121,None
749,100168237,None
750,100168505,None
751,100168658,None
752,100168911,None
753,100169047,None
754,100169147,None
755,100169305,None
756,100169522,None
757,100169651,None
758,100169811,None
759,100170005,None
760,100170172,None
761,100170340,None
762,100170536,None
763,100170643,None
764,100170710,maniobra de vuelo el avión se desliza de_lado en el aire
765,100170844,operación ejecutada por un avión
766,100171050,None
767,100171249,cualquier maniobra ingeniosa
768,100171507,None
769,100171618,None
770,100171882,maniobra dudosa similar a la trampa
771,100172073,None
772,100172217,movimiento engañoso hecho por un jugador de fútbol
773,100172347,None
774,100172490,None
775,100172598,una operación engañosa ( sobre_todo para evitar ser_capturado )
776,100172710,None
777,100173172,None
778,100173283,None
779,100173487,None
780,100173761,None
781,100174003,None
782,100174127,None
783,100174260,None
784,100174412,cualquier acción tomada como parte del proceso hacia un objetivo
785,100174663,None
786,100174782,None
787,100174950,None
788,100175174,None
789,100175433,None
790,100175605,None
791,100175875,None
792,100176052,None
793,100176312,la compañía objetivo se_protege a sí_misma amenazando con tomar_el_control de la_empresa compradora
794,100176449,None
795,100176609,None
796,100176766,None
797,100176994,la compañía objetivo se_protege a sí_misma vendiendo sus mejores activos
798,100177127,None
799,100177448,None
800,100177638,None
801,100177783,None
802,100178024,None
803,100178177,None
804,100178551,None
805,100178700,None
806,100178832,actuación sin_preparación
807,100178972,None
808,100179125,None
809,100179275,None
810,100179380,None
811,100179576,None
812,100179683,None
813,100179916,None
814,100180054,None
815,100180228,None
816,100180413,None
817,100180770,None
818,100180962,None
819,100181191,None
820,100181373,nueva elección
821,100181495,None
822,100181640,un acto legislativo en el que se solicita al electorado el voto popular para aprobar una ley o decisión política
823,100181781,None
824,100182213,None
825,100182435,None
826,100182571,None
827,100182723,None
828,100182897,None
829,100183084,None
830,100183240,None
831,100183357,None
832,100183505,None
833,100183995,None
834,100184135,None
835,100184362,None
836,100184501,voto hecho por un votante que vota a candidatos de más de un partido
837,100184652,voto hecho por un votante que vota a todos los candidatos de un partido
838,100184802,None
839,100184981,None
840,100185104,None
841,100185307,None
842,100185438,None
843,100185612,None
844,100185778,None
845,100186251,None
846,100186549,None
847,100186634,None
848,100187056,puntos marcados en un juego de boliche
849,100187144,None
850,100187337,intento afortunado de marcar
851,100187499,None
852,100187710,None
853,100187890,None
854,100188007,cualquier ronda en que un jugador_de_bolos no consigue hacer un pleno o semipleno
855,100188183,None
856,100188341,puntuación en un partido de fútbol
857,100188449,None
858,100188620,None
859,100188766,None
860,100188934,None
861,100189106,None
862,100189257,None
863,100189476,puntuación de un partido de béisbol
864,100189565,anotación en béisbol realizada por un corredor alcanzando todas las bases con_éxito
865,100189896,None
866,100190040,None
867,100190180,None
868,100190338,puntuación en un partido de baloncesto
869,100190431,None
870,100190579,None
871,100190783,None
872,100190931,None
873,100191142,None
874,100191980,None
875,100192149,None
876,100192300,None
877,100192457,None
878,100192613,None
879,100192910,None
880,100193099,None
881,100193225,None
882,100193406,ajuste rápido de un órgano sensorial ( como el ojo ) a condiciones variables ( como la luz )
883,100193622,None
884,100193811,None
885,100194005,None
886,100194127,None
887,100194257,None
888,100194414,None
889,100194645,None
890,100194831,None
891,100194969,None
892,100195194,None
893,100195415,None
894,100195569,None
895,100195938,en cambio permanente
896,100196084,None
897,100196402,cambio repentino e inesperado
898,100196485,None
899,100196848,None
900,100197136,cambio de un lanzador en béisbol
901,100197229,None
902,100197419,None
903,100197610,None
904,100197772,None
905,100198118,None
906,100198270,None
907,100198451,None
908,100198631,None
909,100198793,None
910,100198919,None
911,100199130,None
912,100199707,None
913,100200041,None
914,100200244,None
915,100200379,None
916,100200563,None
917,100200768,None
918,100201058,None
919,100201269,None
920,100201397,None
921,100201516,None
922,100201671,None
923,100201923,None
924,100202284,None
925,100202620,None
926,100202816,None
927,100203020,None
928,100203208,contrarreacción por_parte_de personas blancas racistas contra el progreso de los derechos ciudadanos de personas negras
929,100203342,None
930,100203649,rechazo descortés o despectivo
931,100203753,None
932,100204022,None
933,100204199,evasión del peligro o de la dificultad
934,100204334,algo que evita fracasos o desastres con_dificultad
935,100204439,None
936,100204659,None
937,100204814,None
938,100204943,abandono repentino ( como de un partido político )
939,100205079,None
940,100205349,None
941,100205543,None
942,100205649,None
943,100205891,None
944,100206130,None
945,100206302,None
946,100206600,None
947,100206779,None
948,100206927,None
949,100207306,None
950,100207434,None
951,100207622,None
952,100207761,None
953,100208141,deportación de los judíos a Babilonia por Nabucodonosor en
954,100208277,None
955,100208521,None
956,100208694,None
957,100208797,None
958,100208943,None
959,100209132,None
960,100209301,None
961,100209446,None
962,100209546,None
963,100209680,veto indirecto de una legislación mediante el rechazo de firmarla
964,100209789,None
965,100209943,None
966,100210518,None
967,100210797,última parte de cualquier función
968,100210940,None
969,100211110,None
970,100211462,None
