,Source Synset,Target Synset
44339,105418717,105358345
44340,105418717,105358507
44341,105418717,105358764
44342,105418717,105358944
44343,105418717,105359124
44344,105418717,105359347
44345,105418717,105359516
44346,105418717,105359695
44347,105418717,105359828
44348,105418717,105360470
44349,105418717,105360678
44350,105418717,105360880
44351,105418717,105361123
44352,105418717,105361278
44353,105418717,105361391
44354,105418717,105363270
44355,105418717,105363428
44356,105418717,105363559
44357,105418717,105363676
44358,105418717,105364184
44359,105418717,105364345
44360,105418717,105364448
44361,105418717,105364612
44362,105418717,105364730
44363,105418717,105364905
44364,105418717,105365059
44365,105418717,105365164
44366,105418717,105365284
44367,105418717,105365420
44368,105418717,105365838
44369,105418717,105366043
44370,105418717,105366812
44371,105418717,105367003
44372,105418717,105367165
44373,105418717,105367341
44374,105418717,105367508
44375,105418717,105367735
44376,105418717,105367912
44377,105418717,105368100
44378,105418717,105368739
44379,105418717,105368874
44380,105418717,105369092
44381,105418717,105369254
44382,105418717,105369566
44383,105418717,105370125
44384,105418717,105370293
44385,105418717,105370410
44386,105418717,105370636
44387,105418717,105370781
44388,105418717,105370918
44389,105418717,105371663
44390,105418717,105372125
44391,105418717,105372290
44392,105418717,105372428
44393,105418717,105372593
44394,105418717,105372924
44395,105418717,105373145
44396,105418717,105373300
44397,105418717,105373495
44398,105418717,105373616
44399,105418717,105373790
44400,105418717,105373924
44401,105418717,105374101
44402,105418717,105374280
44403,105418717,105374475
44404,105418717,105374658
44405,105418717,105374861
44406,105418717,105374980
44407,105418717,105375530
44408,105418717,105375729
44409,105418717,105375881
44410,105418717,105376050
44411,105418717,105376219
44412,105418717,105376391
44413,105418717,105376541
44414,105418717,105376721
44415,105418717,105376844
44416,105418717,105377098
44417,105418717,105377252
44418,105418717,105377371
44419,105418717,105377665
44420,105418717,105377833
44421,105418717,105378022
44422,105418717,105378137
44423,105418717,105378234
44424,105418717,105379039
44425,105418717,105379247
44426,105418717,105379635
44427,105418717,105379734
44428,105418717,105380252
44429,105418717,105380404
44430,105418717,105380532
44431,105418717,105380697
44432,105418717,105380822
44433,105418717,105381148
44434,105418717,105381325
44435,105418717,105381491
44436,105418717,105381666
44437,105418717,105381779
44438,105418717,105381956
44439,105418717,105382135
44440,105418717,105382729
44441,105418717,105382855
44442,105418717,105383004
44443,105418717,105383467
44444,105418717,105383598
44445,105418717,105384300
44446,105418717,105384446
44447,105418717,105384560
44448,105418717,105384691
44449,105418717,105384817
44450,105418717,105384999
44451,105418717,105421586
44452,105418717,105421723
44453,105418717,105421900
44454,105418717,105421997
44455,105418717,105422574
44456,105418717,105422668
44457,105418717,105423779
44458,105418717,105424074
44459,105418717,105424199
44460,105418717,105425207
44461,105418717,105425436
44462,105418717,105425581
44463,105418717,105425703
44464,105418717,105426087
44465,105421997,105422135
44466,105421997,105422317
44467,105421997,105422457
44468,105422668,105422852
44469,105422668,105423095
44470,105424199,105423882
44471,105425910,105247804
44472,105425910,105248006
44473,105426087,105366640
44474,105426087,105381036
44475,105426243,101462209
44476,105426243,101473620
44477,105426243,101898328
44478,105426243,105247621
44479,105426243,105286167
44480,105426243,105286272
44481,105426243,105310790
44482,105426243,105313115
44483,105426243,105313344
44484,105426243,105317354
44485,105426243,105318606
44486,105426243,105318831
44487,105426243,105319028
44488,105426243,105319144
44489,105426243,105319279
44490,105426243,105319419
44491,105426243,105319588
44492,105426243,105319760
44493,105426243,105319936
44494,105426243,105326060
44495,105426243,105326900
44496,105426243,105327134
44497,105426243,105327373
44498,105426243,105327652
44499,105426243,105426989
44500,105426243,105427570
44501,105426243,105447423
44502,105426243,105605944
44503,105426243,105606247
44504,105426243,105606633
44505,105427739,105429195
44506,105427739,105429525
44507,105429195,105429404
44508,105429525,105429658
44509,105429525,105429840
44510,105430095,105430300
44511,105430095,105430454
44512,105430095,114315722
44513,105430628,105241072
44514,105430628,105241827
44515,105430628,105431177
44516,105430628,105447599
44517,105430628,105449268
44518,105430628,105450888
44519,105430628,105455912
44520,105430628,105456622
44521,105430628,105459232
44522,105430628,105465071
44523,105430628,105465567
44524,105430628,105467432
44525,105430628,105470013
44526,105430628,105607602
44527,105430628,105607863
44528,105430628,105608206
44529,105431177,105431285
44530,105431926,105432230
44531,105431926,105432420
44532,105432736,105432948
44533,105432736,105434784
44534,105432736,105435722
44535,105432736,115023959
44536,105432948,101428003
44537,105432948,105433400
44538,105432948,105433709
44539,105432948,105433856
44540,105432948,105433953
44541,105432948,105434053
44542,105432948,105446767
44543,105432948,105446971
44544,105432948,105605762
44545,105434927,105431762
44546,105434927,105498581
44547,105436080,105435855
44548,105436752,105437600
44549,105436752,105437785
44550,105436752,105438483
44551,105436752,105438642
44552,105436752,105438956
44553,105436752,105439100
44554,105436752,105439286
44555,105436752,105439413
44556,105436752,105439942
44557,105436752,105440046
44558,105436752,105440410
44559,105436752,105440555
44560,105436752,105440756
44561,105436752,105440875
44562,105436752,105441053
44563,105436752,105441224
44564,105436752,105441338
44565,105436752,105441468
44566,105436752,105441686
44567,105436752,105441929
44568,105436752,105442022
44569,105437785,105438130
44570,105437785,105438315
44571,105438642,105438778
44572,105439413,105439810
44573,105441468,105441806
44574,105442131,105443651
44575,105442131,105443966
44576,105442131,105444610
44577,105442131,105444709
44578,105442131,105445099
44579,105442131,105445247
44580,105443651,105442594
44581,105443651,105442789
44582,105443651,105442916
44583,105443651,105443050
44584,105443651,105443211
44585,105443651,105443333
44586,105443651,105443484
44587,105445389,105445546
44588,105445668,101458105
44589,105445668,105434203
44590,105445668,105434927
44591,105445668,105435277
44592,105445668,105445389
44593,105445668,105446181
44594,105445668,105446394
44595,105447423,105312782
44596,105447599,105448928
44597,105447599,105449073
44598,105447599,105449196
44599,105447757,105447962
44600,105447757,105448053
44601,105447757,105448149
44602,105447757,105448257
44603,105447757,105448400
44604,105447757,105448501
44605,105448257,105448827
44606,105449268,105449959
44607,105449268,105450370
44608,105449268,105454070
44609,105449959,105448597
44610,105449959,105448704
44611,105449959,105451384
44612,105449959,105453145
44613,105449959,105453267
44614,105449959,105453523
44615,105449959,105453657
44616,105449959,105453943
44617,105450740,105450617
44618,105450888,105450740
44619,105450888,105451099
44620,105450888,105451265
44621,105451265,105449959
44622,105451384,105451695
44623,105451384,105451981
44624,105451384,105452765
44625,105451384,105452845
44626,105451981,105452204
44627,105451981,105452516
44628,105452845,105453057
44629,105453267,105453412
44630,105453657,105453815
44631,105454070,105449661
44632,105454070,105449797
44633,105454070,105454452
44634,105454070,105454578
44635,105454070,105454702
44636,105454070,105454833
44637,105454070,105454978
44638,105454070,105455113
44639,105454070,105455206
44640,105455912,105456257
44641,105455912,105456456
44642,105456732,105456945
44643,105456945,105457201
44644,105456945,105457343
