,Subclass,Hierarchy_1,Hierarchy_2
605,subclass,Shooting,Impelling
606,subclass,ShoreArea,LandArea
607,subclass,Singing,MakingVocalMusic
608,subclass,SingleAgentProcess,Process
609,subclass,SingleFamilyResidence,PermanentResidence
610,subclass,SingleValuedRelation,InheritableRelation
611,subclass,SingleValuedRelation,Relation
612,subclass,Smelling,Perception
613,subclass,Smoke,Cloud
614,subclass,SocialInteraction,IntentionalProcess
615,subclass,SocialRole,RelationalAttribute
616,subclass,SocialUnit,GroupOfPeople
617,subclass,SolidAngleMeasure,AngleMeasure
618,subclass,Solution,LiquidMixture
619,subclass,SoundAttribute,PerceptualAttribute
620,subclass,SoundAttribute,RelationalAttribute
621,subclass,SpatialRelation,InheritableRelation
622,subclass,SpatialRelation,Relation
623,subclass,Speaking,LinguisticCommunication
624,subclass,Speaking,Vocalizing
625,subclass,SpokenHumanLanguage,HumanLanguage
626,subclass,Spore,PlantAnatomicalStructure
627,subclass,Spore,ReproductiveBody
628,subclass,Sport,Game
629,subclass,StateChange,InternalChange
630,subclass,StateOfMind,PsychologicalAttribute
631,subclass,StateOrProvince,GeopoliticalArea
632,subclass,StateOrProvince,LandArea
633,subclass,Stating,LinguisticCommunication
634,subclass,StationaryArtifact,Artifact
635,subclass,StructureAttribute,InternalAttribute
636,subclass,SubatomicParticle,ElementalSubstance
637,subclass,SubjectiveAssessmentAttribute,NormativeAttribute
638,subclass,Substance,SelfConnectedObject
639,subclass,Substituting,DualObjectProcess
640,subclass,Substituting,Transfer
641,subclass,Summary,Text
642,subclass,Sunday,Day
643,subclass,Supposing,LinguisticCommunication
644,subclass,SurfaceChange,InternalChange
645,subclass,Surgery,TherapeuticProcess
646,subclass,Suspension,LiquidMixture
647,subclass,Swimming,BodyMotion
648,subclass,SymbolicString,ContentBearingObject
649,subclass,SymmetricPositionalAttribute,PositionalAttribute
650,subclass,SymmetricRelation,BinaryRelation
651,subclass,SyntheticSubstance,Substance
652,subclass,SystemeInternationalUnit,UnitOfMeasure
653,subclass,TactilePerception,Perception
654,subclass,TasteAttribute,PerceptualAttribute
655,subclass,Tasting,Perception
656,subclass,TemperatureMeasure,ConstantQuantity
657,subclass,TemporalRelation,InheritableRelation
658,subclass,TemporalRelation,Relation
659,subclass,TemporaryResidence,Residence
660,subclass,TerminatingEmployment,LeavingAnOrganization
661,subclass,TernaryFunction,Function
662,subclass,TernaryFunction,InheritableRelation
663,subclass,TernaryFunction,QuaternaryRelation
664,subclass,TernaryPredicate,InheritableRelation
665,subclass,TernaryPredicate,Predicate
666,subclass,TernaryPredicate,TernaryRelation
667,subclass,TernaryRelation,InheritableRelation
668,subclass,TernaryRelation,Relation
